FAT ID (compare with media ID at BPB offset 0x0A)[22][23],0xFF,0xFE,0xFD,0xFC,0xFB,0xFA,,,,,,,,,,
Size,"5.25""","5.25""","5.25""","5.25""","5.25"" / 3.5""","5.25"" / 3.5""",,,,,,,,,,
Density,DD 48tpi,DD 48tpi,DD 48tpi,DD 48tpi,?,?,,,,,,,,,,
Modulation,MFM,MFM,MFM,MFM,MFM,MFM,,,,,,,,,,
Formatted capacity (KB),320,160,360,180,640,320,,,,,,,,,,
Cylinders (CHS),40,40,40,40,80,80,Geometry,,,,,,,,,
"Physical sectors / track (BPB offset 0x0D)",8,8,9,9,8,8,,,,,,,,,,
"Number of heads (BPB offset 0x0F)",2,1,2,1,2,1,Geometry,,,,,,,,,
Byte payload / physical sector,512,512,512,512,512,512,,,,,,,,,,
"Bytes / logical sector (BPB offset 0x00)",512,512,512,512,512,512,,,,,,,,,,
"Logical sectors / cluster (BPB offset 0x02)",2,1,2,1,2,1[22] (2?[7]),,,,,,,,,,
"Reserved logical sectors (BPB offset 0x03)",1,1,1,1,1,1,,,,,,,,,,
"Number of FATs (BPB offset 0x05)",2,2,2,2,2,2,,,,,,,,,,
"Root directory entries (BPB offset 0x06)",112 (7 sectors),64 (4 sectors),112 (7 sectors),64 (4 sectors),112 (7 sectors),112 (7 sectors),,,,,,,,,,
"Total logical sectors (BPB offset 0x08)",640,320,720,360,1280,640,,,,,,,,,,
"Logical sectors / FAT (BPB offset 0x0B)",1,1,2,2,2,2[22] (1?[7]),,,,,,,,,,
"Hidden sectors (BPB offset 0x11)",0,0,0,0,0,0,,,,,,,,,,
Total number of clusters,315,313,354,351,?,?,,,,,,,,,,
Logical sector order,?,?,?,?,?,?,,,,,,,,,,
Sector mapping,sector+ head+ track+,sector+ head+ track+,sector+ head+ track+,sector+ head+ track+,sector+ head+ track+,sector+ track+,,,,,,,,,,
First physical sector (CHS),1,1,1,1,?,?,,,,,,,,,,
DRIVER.SYS /F:n,0,0,0,0,?,?,,,,,,,,,,
BPB Presence,?,?,?,?,?,?,,,,,,,,,,
Support,DOS 1.1[32],DOS 1.0[32],DOS 2.0,DOS 2.0,?,?,,,,,,,,,,
